season,team,pot,,,,
2024/2025,Arsenal,2,,,,
2024/2025,Aston Villa,4,,,,
2024/2025,Atalanta,2,,,,
2024/2025,Atletico Madrid,2,,,,
2024/2025,Barcelona,1,,,,
2024/2025,Bayer Leverkusen,2,,,,
2024/2025,Bayern München,1,,,,
2024/2025,Benfica,2,,,,
2024/2025,Bologna,4,,,,
2024/2025,Borussia Dortmund,1,,,,
2024/2025,Brest,4,,,,
2024/2025,Celtic,3,,,,
2024/2025,Club Brugge,2,,,,
2024/2025,Dinamo Zagreb,3,,,,
2024/2025,Feyenoord,3,,,,
2024/2025,FK Crvena Zvezda,3,,,,
2024/2025,Girona,4,,,,
2024/2025,Inter,1,,,,
2024/2025,Juventus,2,,,,
2024/2025,Lille,3,,,,
2024/2025,Liverpool,1,,,,
2024/2025,Manchester City,1,,,,
2024/2025,Milan,2,,,,
2024/2025,Monaco,4,,,,
2024/2025,Paris Saint-Germain,1,,,,
2024/2025,PSV Eindhoven,3,,,,
2024/2025,RB Leipzig,1,,,,
2024/2025,Real Madrid,1,,,,
2024/2025,Salzburg,3,,,,
2024/2025,Shakhtar Donetsk,2,,,,
2024/2025,Slovan Bratislava,4,,,,
2024/2025,Sparta Prague,4,,,,
2024/2025,Sporting CP,3,,,,
2024/2025,Sturm Graz,4,,,,
2024/2025,VfB Stuttgart,4,,,,
2024/2025,Young Boys,3,,,,
2025/2026,Ajax,3,,,,
2025/2026,Arsenal,2,,,,
2025/2026,Atalanta,2,,,,
2025/2026,Athletic Club,4,,,,
2025/2026,Atletico Madrid,2,,,,
2025/2026,Barcelona,1,,,,
2025/2026,Bayer Leverkusen,2,,,,
2025/2026,Bayern München,1,,,,
2025/2026,Benfica,2,,,,
2025/2026,Bodø/Glimt,3,,,,
2025/2026,Borussia Dortmund,1,,,,
2025/2026,Chelsea,1,,,,
2025/2026,Club Brugge,2,,,,
2025/2026,Eintracht Frankfurt,2,,,,
2025/2026,FC København,4,,,,
2025/2026,Galatasaray,4,,,,
2025/2026,Inter,1,,,,
2025/2026,Juventus,2,,,,
2025/2026,Kairat Almaty,4,,,,
2025/2026,Liverpool,1,,,,
2025/2026,Manchester City,1,,,,
2025/2026,Marseille,3,,,,
2025/2026,Monaco,4,,,,
2025/2026,Napoli,3,,,,
2025/2026,Newcastle United,4,,,,
2025/2026,Olympiacos,3,,,,
2025/2026,Pafos FC,4,,,,
2025/2026,Paris Saint-Germain,1,,,,
2025/2026,PSV Eindhoven,3,,,,
2025/2026,Qarabag FK,4,,,,
2025/2026,Real Madrid,1,,,,
2025/2026,Slavia Prague,3,,,,
2025/2026,Sporting CP,3,,,,
2025/2026,Tottenham Hotspur,3,,,,
2025/2026,Union St.Gilloise,4,,,,
2025/2026,Villarreal,2,,,,