Year,Winners,League Finish,,
1957,Real Madrid,1,,
1958,Real Madrid,1,,
1961,Benfica,1,,
1965,Inter,1,,
1967,Celtic,1,,
1972,Ajax,1,,
1973,Ajax,1,,
1974,Bayern Munich,1,,
1977,Liverpool,1,,
1983,Hamburg,1,,
1984,Liverpool,1,,
1986,Steaua Bucharest,1,,
1988,PSV,1,,
1991,Red Star,1,,
1992,Barcelona,1,,
1993,Marseille,1,,
1994,Milan,1,,
1995,Ajax,1,,
1999,Manchester United,1,,
2001,Bayern Munich,1,,
2004,Porto,1,,
2006,Barcelona,1,,
2008,Manchester United,1,,
2009,Barcelona,1,,
2010,Inter,1,,
2011,Barcelona,1,,
2013,Bayern Munich,1,,
2015,Barcelona,1,,
2017,Real Madrid,1,,
2020,Bayern Munich,1,,
2022,Real Madrid,1,,
2023,Manchester City,1,,
2024,Real Madrid,1,,
2025,Paris St-Germain,1,,
1959,Real Madrid,2,,
1960,Real Madrid,2,,
1964,Inter,2,,
1966,Real Madrid,2,,
1968,Manchester United,2,,
1970,Feyenoord,2,,
1971,Ajax,2,,
1978,Liverpool,2,,
1979,Nottingham Forest,2,,
1987,Porto,2,,
1990,Milan,2,,
1996,Juventus,2,,
2016,Real Madrid,2,,
2019,Liverpool,2,,
1956,Real Madrid,3,,
1962,Benfica,3,,
1963,Milan,3,,
1969,Milan,3,,
1976,Bayern Munich,3,,
1989,Milan,3,,
1997,Borussia Dortmund,3,,
2002,Real Madrid,3,,
2003,Milan,3,,
2014,Real Madrid,3,,
2018,Real Madrid,3,,
1998,Real Madrid,4,,
2007,Milan,4,,
2021,Chelsea,4,,
1980,Nottingham Forest,5,,
1981,Liverpool,5,,
2000,Real Madrid,5,,
2005,Liverpool,5,,
1985,Juventus,6,,
2012,Chelsea,6,,
1975,Bayern Munich,10,,
1982,Aston Villa,11,,